h0dn_row_1based	name	h0dn_m_b	h0dn_err_m_b	h0dn_zhel	h0dn_zcmb	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	covariance_diagonal_used_for_mapping	final_dependency_classification	candidate_count	candidate_official_rows_1based	match_status	official_row_1based	official_CID	IDSURVEY	survey_label	official_m_b_corr	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal_sqrt	official_zHEL	official_zCMB	delta_m_b	delta_err_m_b	delta_err_m_b_role	delta_zhel	delta_zcmb
35	2002bf	15.653	0.19771	0.024379999999999999	0.02494	CATALOG_ONLY_UNIQUE	1	394	NO	CATALOG_ONLY_UNIQUE	1	394	UNIQUE_MATCH	394	2002bf	50	LOWZ/JRK07	15.6533	0.267708	0.19770523513554214	0.024379999999999999	0.02494	0.00029999999999930083	4.7648644578568433e-06	POST_MAPPING_DIAGNOSTIC	0	0
36	PS15ahs	15.944000000000001	0.13116	0.025510000000000001	0.025219999999999999	CATALOG_ONLY_UNIQUE	1	396	NO	CATALOG_ONLY_UNIQUE	1	396	UNIQUE_MATCH	396	PS15ahs	150	FOUND	15.9444	0.18396599999999999	0.13115792008109919	0.025510000000000001	0.025219999999999999	0.00039999999999906777	2.0799189008047225e-06	POST_MAPPING_DIAGNOSTIC	0	0
37	PSNJ0153424	15.93	0.16707	0.025649999999999999	0.024740000000000002	CATALOG_ONLY_UNIQUE	1	397	NO	CATALOG_ONLY_UNIQUE	1	397	UNIQUE_MATCH	397	PSNJ0153424	150	FOUND	15.9298	0.23216000000000001	0.16707067366836109	0.025649999999999999	0.024740000000000002	0.00019999999999953388	6.7366836109528094e-07	POST_MAPPING_DIAGNOSTIC	0	0
38	SN2017hn	15.808999999999999	0.13539000000000001	0.02385	0.024920000000000001	CATALOG_ONLY_UNIQUE	1	398	NO	CATALOG_ONLY_UNIQUE	1	398	UNIQUE_MATCH	398	SN2017hn	150	FOUND	15.809100000000001	0.188251	0.13538718550882134	0.02385	0.024920000000000001	0.0001000000000015433	2.8144911786709415e-06	POST_MAPPING_DIAGNOSTIC	0	0
39	SN2017ms	15.865	0.14188999999999999	0.024479999999999998	0.02538	CATALOG_ONLY_UNIQUE	1	400	NO	CATALOG_ONLY_UNIQUE	1	400	UNIQUE_MATCH	400	SN2017ms	150	FOUND	15.8651	0.198351	0.14189193070784539	0.024479999999999998	0.02538	9.9999999999766942e-05	1.9307078454045001e-06	POST_MAPPING_DIAGNOSTIC	0	0
40	2005M	16.039999999999999	0.12681000000000001	0.024840000000000001	0.025839999999999998	CATALOG_ONLY_UNIQUE	1	402	NO	CATALOG_ONLY_UNIQUE	1	402	UNIQUE_MATCH	402	2005M	57	LOSS2	16.040099999999999	0.17750299999999999	0.1268136033712472	0.024840000000000001	0.025839999999999998	9.9999999999766942e-05	3.6033712471905677e-06	POST_MAPPING_DIAGNOSTIC	0	0
41	2005M	15.855	0.1414	0.024840000000000001	0.025839999999999998	CATALOG_ONLY_UNIQUE	1	403	NO	CATALOG_ONLY_UNIQUE	1	403	UNIQUE_MATCH	403	2005M	5	CSP	15.8551	0.19639499999999999	0.14139787834334716	0.024840000000000001	0.025839999999999998	9.9999999999766942e-05	2.121656652837034e-06	POST_MAPPING_DIAGNOSTIC	0	0
42	2005M	15.582000000000001	0.24867	0.024840000000000001	0.025839999999999998	CATALOG_ONLY_UNIQUE	1	404	NO	CATALOG_ONLY_UNIQUE	1	404	UNIQUE_MATCH	404	2005M	64	CFA3K	15.582000000000001	0.34726600000000002	0.24866837354195245	0.024840000000000001	0.025839999999999998	0	1.6264580475489065e-06	POST_MAPPING_DIAGNOSTIC	0	0
43	SN2017mf	16.058	0.12692999999999999	0.025610000000000001	0.026179999999999998	CATALOG_ONLY_UNIQUE	1	405	NO	CATALOG_ONLY_UNIQUE	1	405	UNIQUE_MATCH	405	SN2017mf	150	FOUND	16.0581	0.176679	0.12692958677944241	0.025610000000000001	0.026179999999999998	9.9999999999766942e-05	4.1322055757686549e-07	POST_MAPPING_DIAGNOSTIC	0	0
44	2005ms	16.055	0.12589	0.025219999999999999	0.025950000000000001	CATALOG_ONLY_UNIQUE	1	409	NO	CATALOG_ONLY_UNIQUE	1	409	UNIQUE_MATCH	409	2005ms	64	CFA3K	16.055	0.17754600000000001	0.12588689367841277	0.025219999999999999	0.025950000000000001	0	3.1063215872317862e-06	POST_MAPPING_DIAGNOSTIC	0	0
45	1999gp	16.015999999999998	0.14524000000000001	0.026749999999999999	0.026030000000000001	CATALOG_ONLY_UNIQUE	1	410	NO	CATALOG_ONLY_UNIQUE	1	410	UNIQUE_MATCH	410	1999gp	62	CFA2	16.015799999999999	0.18137400000000001	0.14524269344789775	0.026749999999999999	0.026030000000000001	0.00019999999999953388	2.6934478977447274e-06	POST_MAPPING_DIAGNOSTIC	0	0
46	1999gp	16.036000000000001	0.12969	0.026749999999999999	0.026030000000000001	CATALOG_ONLY_UNIQUE	1	411	NO	CATALOG_ONLY_UNIQUE	1	411	UNIQUE_MATCH	411	1999gp	57	LOSS2	16.036200000000001	0.20410500000000001	0.12968592830372924	0.026749999999999999	0.026030000000000001	0.00019999999999953388	4.0716962707576521e-06	POST_MAPPING_DIAGNOSTIC	0	0
47	ASASSN-17at	15.997999999999999	0.13386000000000001	0.02537	0.026429999999999999	CATALOG_ONLY_UNIQUE	1	413	NO	CATALOG_ONLY_UNIQUE	1	413	UNIQUE_MATCH	413	ASASSN-17at	150	FOUND	15.9983	0.18479799999999999	0.13386429695777735	0.02537	0.026429999999999999	0.00030000000000107718	4.2969577773444012e-06	POST_MAPPING_DIAGNOSTIC	0	0
48	2013fn	16.036000000000001	0.21614	0.028230000000000002	0.02724	CATALOG_ONLY_UNIQUE	1	415	NO	CATALOG_ONLY_UNIQUE	1	415	UNIQUE_MATCH	415	2013fn	56	SOUSA	16.036200000000001	0.29768499999999998	0.2161354667795177	0.028230000000000002	0.02724	0.00019999999999953388	4.5332204823000932e-06	POST_MAPPING_DIAGNOSTIC	0	0
49	2002eb	16.013999999999999	0.12279	0.02751	0.026329999999999999	CATALOG_ONLY_UNIQUE	1	416	NO	CATALOG_ONLY_UNIQUE	1	416	UNIQUE_MATCH	416	2002eb	57	LOSS2	16.014299999999999	0.17022899999999999	0.12279014618445569	0.02751	0.026329999999999999	0.00029999999999930083	1.4618445569325456e-07	POST_MAPPING_DIAGNOSTIC	0	0
50	2007co	16.091000000000001	0.16392000000000001	0.026960000000000001	0.026550000000000001	CATALOG_ONLY_UNIQUE	1	417	NO	CATALOG_ONLY_UNIQUE	1	417	UNIQUE_MATCH	417	2007co	57	LOSS2	16.090699999999998	0.22920399999999999	0.16392266469283617	0.026960000000000001	0.026550000000000001	0.00030000000000285354	2.6646928361628852e-06	POST_MAPPING_DIAGNOSTIC	0	0
51	2007co	15.859	0.24907000000000001	0.026960000000000001	0.026550000000000001	CATALOG_ONLY_UNIQUE	1	418	NO	CATALOG_ONLY_UNIQUE	1	418	UNIQUE_MATCH	418	2007co	56	SOUSA	15.8588	0.34553800000000001	0.24907105411910072	0.026960000000000001	0.026550000000000001	0.00019999999999953388	1.0541191007018558e-06	POST_MAPPING_DIAGNOSTIC	0	0
52	2007co	15.974	0.18583	0.026960000000000001	0.026550000000000001	CATALOG_ONLY_UNIQUE	1	419	NO	CATALOG_ONLY_UNIQUE	1	419	UNIQUE_MATCH	419	2007co	64	CFA3K	15.974	0.26024799999999998	0.1858288459846856	0.026960000000000001	0.026550000000000001	0	1.1540153143918541e-06	POST_MAPPING_DIAGNOSTIC	0	0
53	1992P	16.059999999999999	0.15912999999999999	0.025309999999999999	0.026429999999999999	CATALOG_ONLY_UNIQUE	1	420	NO	CATALOG_ONLY_UNIQUE	1	420	UNIQUE_MATCH	420	1992P	50	LOWZ/JRK07	16.059999999999999	0.218475	0.1591263334586705	0.025309999999999999	0.026429999999999999	0	3.6665413294945104e-06	POST_MAPPING_DIAGNOSTIC	0	0
54	2005na	15.859999999999999	0.12046999999999999	0.02665	0.02717	CATALOG_ONLY_UNIQUE	1	423	NO	CATALOG_ONLY_UNIQUE	1	423	UNIQUE_MATCH	423	2005na	5	CSP	15.859999999999999	0.170601	0.12046572126542887	0.02665	0.02717	0	4.2787345711225999e-06	POST_MAPPING_DIAGNOSTIC	0	0
55	2005na	15.901	0.12683	0.02665	0.02717	CATALOG_ONLY_UNIQUE	1	424	NO	CATALOG_ONLY_UNIQUE	1	424	UNIQUE_MATCH	424	2005na	64	CFA3K	15.9008	0.184895	0.12683000433651337	0.02665	0.02717	0.00019999999999953388	4.3365133706174674e-09	POST_MAPPING_DIAGNOSTIC	0	0
56	2005na	15.859	0.13264999999999999	0.02665	0.02717	CATALOG_ONLY_UNIQUE	1	425	NO	CATALOG_ONLY_UNIQUE	1	425	UNIQUE_MATCH	425	2005na	57	LOSS2	15.858700000000001	0.16814100000000001	0.13265300599684879	0.02665	0.02717	0.00029999999999930083	3.0059968487983202e-06	POST_MAPPING_DIAGNOSTIC	0	0
