h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	h0dn_err_m_b	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal	official_STAT_SYS_diagonal_sqrt	catalog_vs_matrix_absolute_difference	catalog_vs_matrix_within_tolerance	h0dn_vs_matrix_absolute_difference	h0dn_vs_matrix_within_tolerance
74	ASASSN-15fs	454	ASASSN-15fs	150	0.13255	0.18385099999999999	0.01757034	0.13255315914756616	0.051297840852433829	NO	3.1591475661563173e-06	YES
75	PSNJ0859349	457	PSNJ0859349	150	0.16303999999999999	0.224134	0.026581690000000002	0.16303892173343149	0.061095078266568514	NO	1.0782665685049597e-06	YES
76	LSQ12gdj	459	LSQ12gdj	56	0.19767000000000001	0.27135399999999998	0.039074089999999999	0.19767167222442369	0.07368232777557629	NO	1.6722244236822004e-06	YES
77	2000cw	460	2000cw	57	0.15937999999999999	0.22260199999999999	0.025402330000000001	0.15938108419759228	0.063220915802407712	NO	1.0841975922881719e-06	YES
78	2002de	461	2002de	57	0.20557	0.28245500000000001	0.042261050000000001	0.20557492551378925	0.076880074486210759	NO	4.9255137892501022e-06	YES
79	ASASSN-16hh	465	ASASSN-16hh	18	0.13661000000000001	0.188445	0.0186634	0.1366140549138338	0.051830945086166202	NO	4.0549138337897528e-06	YES
80	Gaia16bba	467	Gaia16bba	150	0.13059999999999999	0.18335799999999999	0.017056379999999999	0.13060007656965597	0.052757923430344023	NO	7.6569655976799211e-08	YES
81	2004ef	469	2004ef	57	0.14021	0.19422	0.01965799	0.14020695417845722	0.054013045821542788	NO	3.0458215427853208e-06	YES
82	2004ef	470	2004ef	5	0.14419000000000001	0.197459	0.020791939999999998	0.14419410528866983	0.053264894711330169	NO	4.1052886698145219e-06	YES
83	2004ef	471	2004ef	64	0.16769999999999999	0.23192199999999999	0.02812365	0.16770107334182449	0.064220926658175498	NO	1.0733418245034709e-06	YES
84	AT2017lm	473	AT2017lm	150	0.15422	0.21458099999999999	0.023784369999999999	0.15422182076476726	0.060359179235232735	NO	1.8207647672630056e-06	YES
85	ASASSN-16hr	479	ASASSN-16hr	150	0.20383999999999999	0.27743600000000002	0.041551270000000001	0.20384128629892426	0.073594713701075759	NO	1.2862989242634626e-06	YES
86	1990O	481	1990O	50	0.11799	0.164272	0.01392066	0.11798584660881999	0.046286153391180015	NO	4.1533911800117895e-06	YES
87	2008gg	487	2008gg	51	0.16774	0.235291	0.028136680000000001	0.16773991772979979	0.067551082270200208	NO	8.2270200207901212e-08	YES
88	2008gg	488	2008gg	5	0.13192999999999999	0.18291399999999999	0.017404639999999999	0.13192664628497155	0.050987353715028438	NO	3.3537150284368433e-06	YES
89	1999cc	489	1999cc	62	0.12870000000000001	0.16692399999999999	0.016563979999999999	0.12870112664619529	0.038222873353804698	NO	1.1266461952819107e-06	YES
90	2007bd	492	2007bd	51	0.12418	0.17387	0.015419820000000001	0.12417656783789767	0.049693432162102327	NO	3.432162102329217e-06	YES
91	2007bd	493	2007bd	5	0.10657	0.146208	0.011356720000000001	0.10656791261913691	0.039640087380863095	NO	2.0873808630889057e-06	YES
92	2007bd	494	2007bd	64	0.10851	0.15141399999999999	0.011774919999999999	0.10851230344988534	0.042901696550114651	NO	2.3034498853463647e-06	YES
