h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	h0dn_err_m_b	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal	official_STAT_SYS_diagonal_sqrt	catalog_vs_matrix_absolute_difference	catalog_vs_matrix_within_tolerance	h0dn_vs_matrix_absolute_difference	h0dn_vs_matrix_within_tolerance
109	2004as	523	2004as	57	0.15881999999999999	0.218528	0.02522464	0.15882266840725223	0.059705331592747768	NO	2.6684072522431546e-06	YES
110	2004as	524	2004as	63	0.16206999999999999	0.22412000000000001	0.026266870000000001	0.16207057104854047	0.06204942895145954	NO	5.7104854048195541e-07	YES
111	2008gp	527	2008gp	51	0.11348	0.16037599999999999	0.01287838	0.11348295026126172	0.046893049738738271	NO	2.9502612617221535e-06	YES
112	2010ag	528	2010ag	66	0.14382	0.19711999999999999	0.020685269999999999	0.14382374630081082	0.053296253699189167	NO	3.7463008108196139e-06	YES
113	2005iq	529	2005iq	64	0.104	0.14855299999999999	0.01081536	0.10399692303140512	0.044556076968594871	NO	3.0769685948756065e-06	YES
114	2005iq	530	2005iq	5	0.10705000000000001	0.14105799999999999	0.011458940000000001	0.10704643852085879	0.034011561479141195	NO	3.5614791412119651e-06	YES
115	PS15bsq	531	PS15bsq	150	0.11345	0.15740000000000001	0.01287194	0.1134545724067567	0.043945427593243311	NO	4.5724067567060045e-06	YES
116	2004L	532	2004L	63	0.20507	0.27233800000000002	0.042055149999999999	0.20507352340075496	0.06726447659924506	NO	3.5234007549622692e-06	YES
117	2003gn	533	2003gn	57	0.17466000000000001	0.24151300000000001	0.030506510000000001	0.1746611290470779	0.06685187095292211	NO	1.1290470778857475e-06	YES
118	2003cq	534	2003cq	63	0.18722	0.25771500000000003	0.035052659999999999	0.18722355621021625	0.070491443789783781	NO	3.5562102162489673e-06	YES
119	2006S	535	2006S	64	0.12634000000000001	0.175145	0.015961920000000001	0.12634049232134567	0.048804507678654324	NO	4.9232134566312702e-07	YES
120	2006gr	537	2006gr	57	0.14951999999999999	0.205651	0.02235494	0.14951568479594374	0.056135315204056263	NO	4.3152040562488558e-06	YES
121	2006gr	538	2006gr	64	0.15265999999999999	0.20958399999999999	0.023304310000000002	0.15265749244632573	0.05692650755367426	NO	2.507553674258034e-06	YES
122	ASASSN-16dw	539	ASASSN-16dw	150	0.15945000000000001	0.215389	0.025425429999999999	0.15945353555189673	0.055935464448103267	NO	3.5355518967217225e-06	YES
123	1996bl	542	1996bl	61	0.10938000000000001	0.15329599999999999	0.01196499	0.10938459672184196	0.043911403278158026	NO	4.5967218419568079e-06	YES
124	2003kc	543	2003kc	63	0.14665	0.20399400000000001	0.021506129999999998	0.14664968462291353	0.05734431537708648	NO	3.1537708647388918e-07	YES
125	ASASSN-15jl	545	ASASSN-15jl	150	0.1187	0.167159	0.01408893	0.11869679860889257	0.048462201391107435	NO	3.2013911074324497e-06	YES
126	1992bg	546	1992bg	50	0.15361	0.20993400000000001	0.023594839999999999	0.15360611966975796	0.056327880330242053	NO	3.88033024203982e-06	YES
127	ASASSN-15tg	550	ASASSN-15tg	150	0.11963	0.16642399999999999	0.01431058	0.11962683645403317	0.046797163545966816	NO	3.1635459668277743e-06	YES
128	PTSS-16efw	552	PTSS-16efw	150	0.13668	0.18651100000000001	0.01868276	0.13668489309356757	0.049826106906432438	NO	4.8930935675761678e-06	YES
129	2016fbk	553	2016fbk	51	0.16420000000000001	0.223548	0.026960769999999998	0.16419735077034586	0.059350649229654134	NO	2.6492296541502647e-06	YES
130	1994T	555	1994T	61	0.15085000000000001	0.20243900000000001	0.022756599999999998	0.15085290849035693	0.051586091509643078	NO	2.9084903569176479e-06	YES
131	ASASSN-15mi	556	ASASSN-15mi	150	0.14693000000000001	0.20253399999999999	0.021587559999999999	0.14692705673224385	0.055606943267756143	NO	2.9432677561558318e-06	YES
132	ASASSN-15ss	557	ASASSN-15ss	150	0.13686999999999999	0.185228	0.018734310000000001	0.1368733356063189	0.048354664393681107	NO	3.335606318904949e-06	YES
133	2001ck	558	2001ck	57	0.15842000000000001	0.22184499999999999	0.02509726	0.15842114757821948	0.063423852421780502	NO	1.147578219479195e-06	YES
134	PS15bbn	559	PS15bbn	150	0.13270999999999999	0.18528800000000001	0.017613110000000001	0.13271439258799325	0.052573607412006756	NO	4.3925879932571466e-06	YES
