h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	allowed_directories	active_candidate_count	active_candidate_paths	unparseable_active_files_in_allowed_directories	lineage_status	unique_file_sha256	unique_file_git_blob_sha1	unique_file_nobs	unique_file_observation_line_count
109	523	2004as	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
110	524	2004as	63	CFA3S	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	e7399e1fa3dbb190ec45b9ecb69a779e37cdb396cd77b02074f1e0515e666eec	5a8fb4709c9ea2c2dc17e37e162013ff9aee0b60	51	51
113	529	2005iq	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005iq.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	e1e00973c34b1d592de651fdf0b7b4ed6a861775cc01c6b35be70cd30e6ddaeb	a144dcbc029b392893a0c3129d1b189e812c7695	67	67
114	530	2005iq	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005iq.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	4a33b57941e55cb67440e2f75b29fd163996daa3e8ed021eaf5050e21cb64169	217af4b87774ab7527883422daddc4f9871e521b	154	154
120	537	2006gr	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
121	538	2006gr	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006gr.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	1770b213c2b4bb5b726aeedb09f7af3713f186c371bd76650b0958a37324b54a	0ff383a204bcb6934596db29afb1e0dbb2263b50	129	129
135	561	2008hj	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	bd1de6b261704125153c7daf55a9c2628b795fcff53fa8253d758dcd8551297e	e3aeea808ea4e48e6814b4702b7cb2300906a1dc	127	127
136	562	2008hj	65	CFA4p2	PS1_LOWZ_COMBINED_TEXT_DS17	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
139	570	2001eh	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
140	571	2001eh	63	CFA3S	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	b31ab0d4f1121ff34bbb4d1164fcc6452217a619b8d412264758797faaa8b61d	b25e124b2e0434027bf6571f4307903ab0be9a3d	93	93
144	575	2007jg	51	LOSS1	KAIT_DS15	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
145	576	2007jg	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	20d5be9f9ed65842a17ac2472ccec7be59a7ba5769c773dae78e031ec5434fc1	d1a13a1733002d32c21d0b808cea0de36f46ecaa	113	113
147	580	2007O	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
148	581	2007O	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	b2b735372a425fe1c5a45cc48f35aa92df5afaf1decc770085854a2a694b4057	100ed935eb04f260a03d99c46455729d868ed7a7	55	55
155	593	2003fa	57	LOSS2	LOSS	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
156	594	2003fa	63	CFA3S	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	817a02656cd4743687b442ca777fc81ee7a5eddf5e6d9ce10dc469488f54de29	789dd0dc816321c56b831b19502d330f0527e46b	92	92
163	605	2007kk	51	LOSS1	KAIT_DS15	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
164	606	2007kk	65	CFA4p2	PS1_LOWZ_COMBINED_TEXT_DS17	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
172	621	2005hc	64	CFA3K	CfA3_DJ20	1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005hc.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	935cbaa80291c801b3f71822027289084e2400ce45c0d8a06ad8abe2c8e835f5	e17df52dae934ee1b3d2606a38208f573b61a8d2	111	111
173	622	2005hc	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005hc.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	b13f82a3b94a665b9054b60ac3c0f8e1f01128da86d52285c75e4e032c0330fb	23a1052db3a092661978be885b91bf6ced950f54	163	163
177	630	2008cf	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	1b454580ee2ed6de40ba6e66f3797ed5021eb247d6878e075e6015c781664b8f	0ace2b20455ea785f0e1f8535c7e450028cff54e	96	96
178	631	2008cf	65	CFA4p2	PS1_LOWZ_COMBINED_TEXT_DS17	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
204	680	2008bz	5	CSP	CSPDR3_anthony;CSP_data2	1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT	0	UNIQUE_ACTIVE_PUBLIC_PHOTOMETRY_FILE	646320fec71072f58670d0439e3f525fa569a2f7e1247460b024035c65bd9a1e	0f42bac3ecee8c3866e2405611e53b5b8eea1978	70	70
205	681	2008bz	65	CFA4p2	PS1_LOWZ_COMBINED_TEXT_DS17	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
213	699	2008Y	51	LOSS1	KAIT_DS15	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
214	700	2008Y	65	CFA4p2	PS1_LOWZ_COMBINED_TEXT_DS17	0		0	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE				
