tau	original_reml_deviance	transformed_reml_deviance	original_reml_delta	transformed_reml_delta	reml_centered_deviance_difference	original_ml_deviance	transformed_ml_deviance	original_ml_delta	transformed_ml_delta	ml_centered_deviance_difference	original_h0_value	transformed_h0_value	h0_difference	original_h0_error	transformed_h0_error	h0_error_difference	original_chi2	transformed_chi2	original_covariance_min_eigenvalue	original_covariance_rank_at_public_cutoff
0.0003041210040453925	383654.3910060196	384888.0472005224	384501.5525568621	384501.5525544728	2.38930806517601e-06	383248.88939851476	384482.54559301754	384501.2557256626	384501.2557232733	2.3892498575150967e-06	73.49875279096965	73.49875279097292	-3.268496584496461e-12	0.8088006056821371	0.8088006056821797	-4.263256414560601e-14	385309.213036334	385309.21303394414	9.248958506790136e-08	255
0.00032436084524600464	337092.20816065377	338325.86435612105	337939.3697114963	337939.3697100715	1.4248071238398552e-06	336686.70656105224	337920.3627565195	337939.07288820005	337939.0728867753	1.4247489161789417e-06	73.498752673711	73.49875267370764	3.353761712787673e-12	0.808800685498511	0.8088006854984826	2.842170943040401e-14	338737.7521157516	338737.75211432704	1.0520995790146672e-07	255
0.00034594768703643744	296160.73136779113	297394.387554797	297007.89291863365	297007.8929087474	9.886221960186958e-06	295755.2297771799	296988.88596418576	297007.5961043277	297007.59609444154	9.886163752526045e-06	73.4987525403163	73.49875254031694	-6.394884621840902e-13	0.8088007762920739	0.8088007762920739	0.0	297796.9972452221	297796.9972353359	1.196798021339911e-07	255
0.0003689711749119788	260179.18207274855	261412.83827476526	261026.34362359103	261026.3436287157	-5.124660674482584e-06	259773.68049236404	261007.33669438076	261026.0468195119	261026.04682463655	-5.124660674482584e-06	73.4987523885768	73.49875238858213	-5.329070518200751e-12	0.8088008795727148	0.8088008795727859	-7.105427357601002e-14	261806.16986972367	261806.1698748479	1.3613972788623002e-07	255
0.0003935269204490646	228549.0910585598	229782.74725733066	229396.2526094023	229396.2526112811	-1.8787977751344442e-06	228143.58948980854	229377.24568857942	229395.95581695638	229395.9558188352	-1.878826878964901e-06	73.49875221598128	73.49875221597595	5.329070518200751e-12	0.8088009970579151	0.8088009970578582	5.684341886080802e-14	230166.80077190808	230166.8007737867	1.548634370676012e-07	255
0.0004197168983595221	200744.34679820237	201978.002994724	201591.50834904486	201591.50834867443	3.704335540533066e-07	200338.8452426843	201572.5014392059	201591.21156983214	201591.21156946168	3.704626578837633e-07	73.49875201963098	73.4987520196273	3.680611371237319e-12	0.8088011307008429	0.8088011307008003	4.263256414560601e-14	202352.7784243158	202352.7784239454	1.761622747294054e-07	255
0.00044764986996954036	176302.4470828312	177536.1032809898	177149.6086336737	177149.60863494023	-1.2665404938161373e-06	175896.94554236621	177130.6017405248	177149.31186951406	177149.3118707806	-1.2665404938161373e-06	73.4987517962776	73.49875179628279	-5.186961971048731e-12	0.8088012827239481	0.808801282724005	-5.684341886080802e-14	177901.60061760608	177901.60061887233	2.0039040603901818e-07	255
0.00047744183488198624	154816.8083875037	156050.4645847899	155663.96993834618	155663.96993874034	-3.9415317587554455e-07	154411.30686416203	155644.96306144827	155663.67319130988	155663.67319170406	-3.941822797060013e-07	73.49875154221698	73.4987515422146	2.3732127374387346e-12	0.808801455655086	0.8088014556550718	1.4210854715202004e-14	156406.68382627142	156406.68382666583	2.279507056613144e-07	255
0.0005092165126977216	135930.005015282	137163.661213282	136777.16656612448	136777.16656723243	-1.1079537216573954e-06	135524.50351141865	136758.15970941863	136776.8698385665	136776.86983967441	-1.1079246178269386e-06	73.49875125321141	73.49875125321111	2.984279490192421e-13	0.8088016523697092	0.8088016523697092	0.0	137510.60235273212	137510.60235384014	2.5930145677049085e-07	255
0.0005431058567964049	119327.82569812825	120561.4818950137	120174.98724897073	120174.98724896413	6.606569513678551e-09	118922.32421642197	120155.98041330742	120174.69054356981	120174.69054356319	6.6211214289069176e-09	73.49875092445559	73.49875092445778	-2.1884716261411086e-12	0.8088018761386593	0.8088018761386735	-1.4210854715202004e-14	120899.14492822035	120899.14492821351	2.9496397165665683e-07	255
0.0005792506023104007	104734.0487710131	105967.70496894955	105581.21032185559	105581.21032289998	-1.044390955939889e-06	104328.54731451112	105562.20351244757	105580.91364165896	105580.91364270334	-1.0443764040246606e-06	73.49875055048905	73.49875055049401	-4.959588295605499e-12	0.8088021306827358	0.8088021306827926	-5.684341886080802e-14	106296.08988687547	106296.08988791968	3.355312602454385e-07	255
0.000617800850567412	91905.84905158584	93139.50524916488	92753.01060242833	92753.01060311531	-6.869813660159707e-07	91500.3476237544	92734.00382133343	92752.71395090224	92752.7139515892	-6.869668141007423e-07	73.49875012509769	73.49875012509762	7.105427357601002e-14	0.8088024202344712	0.808802420234457	1.4210854715202004e-14	93458.61204540187	93458.61204608875	3.816778909275674e-07	255
0.0006589166924289006	80629.76005225288	81863.4162492427	81476.92160309537	81476.92160319313	-9.775976650416851e-08	80224.25865703491	81457.91485402473	81476.62498418275	81476.6249842805	-9.774521458894014e-08	73.49874964120066	73.49874964120036	2.984279490192421e-13	0.8088027496082901	0.8088027496082901	0.0	82173.24491513119	82173.24491522888	4.341712075282907e-07	255
0.0007027688731128858	70718.12437150831	71951.78056880852	71565.2859223508	71565.28592275895	-4.0815211832523346e-07	70312.62301338896	71546.27921068917	71564.9893405368	71564.98934094494	-4.081375664100051e-07	73.49874909075295	73.49874909075537	-2.4158453015843406e-12	0.8088031242808427	0.8088031242808569	-1.4210854715202004e-14	72252.33109333442	72252.33109374263	4.938840889808278e-07	255
0.0007495395012619856	62005.973265546956	63239.62946195921	62853.13481638944	62853.13481590964	4.798057489097118e-07	61600.471949628125	62834.12814604038	62852.83827677597	62852.838276296156	4.79813024867326e-07	73.49874846460975	73.49874846460801	1.7337242752546445e-12	0.8088035504819118	0.8088035504818976	1.4210854715202004e-14	63530.90183481584	63530.901834336066	5.618094639214802e-07	255
0.0007994228052013092	54348.28347213295	55581.939669015446	55195.44502297544	55195.445022965876	9.560608305037022e-09	53942.78220421814	55176.43840110064	55195.14853136599	55195.14853135642	9.567884262651205e-09	73.49874775235405	73.49874775235428	-2.2737367544323206e-13	0.8088040352979107	0.8088040352979107	0.0	55863.93387575697	55863.933875747425	6.390768214330722e-07	255
0.0008526259395267744	47617.565719860184	48851.22191664489	48464.72727070267	48464.72727059532	1.0734947863966227e-07	47212.06450655091	48445.72070333561	48464.43083369875	48464.43083359138	1.0737130651250482e-07	73.4987469421454	73.49874694214525	1.5631940186722204e-13	0.8088045867897904	0.8088045867898046	-1.4210854715202004e-14	49123.93794295215	49123.937942844634	7.269709927177502e-07	255
