representation_family	case_index	case_digest	policy	nrows	npars	atol	rtol	covar_rank	covar_nullity	normal_rank	normal_nullity	covar_min_eigenvalue	covar_max_eigenvalue	covar_materially_indefinite	status	message	logh0_value	logh0_variance	h0_value	h0_error	chi2	ndof	reduced_chi2	normal_condition_number	mzero_value	mzero_error	delta_h0	absolute_delta_h0	delta_h0_in_baseline_sigma	delta_sigma_h0	absolute_delta_sigma_h0	invariance_status
simultaneous_row_column_permutation	19	8ec7c7afb4b01bd28973e27c1b8c17cbfee675d7dad8526fa38096f66637894e	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.958454757385046e-17	0.19083307124362714	0	OK		1.8662799745903964	2.2590906690949597e-05	73.49875364360511	0.8088000253378311	117.5596816821123	119	0.9878964847236328	10114.182556513295	-19.251823407377103	0.02244657671056547	-1.5063505998114124e-12	1.5063505998114124e-12	-1.862451227276102e-12	-1.4210854715202004e-14	1.4210854715202004e-14	PASS
simultaneous_row_column_permutation	20	a720a379b5ea06cd8b76252e4d3e23ec73ff6a607c0e54ae49876ea92a8e90bc	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-3.91781420274775e-17	0.19083307124362686	0	OK		1.866279974590431	2.259090669094849e-05	73.49875364361097	0.8088000253379022	117.55968168211278	119	0.9878964847236368	10114.182556517031	-19.25182340737689	0.022446576710565484	4.348521542851813e-12	4.348521542851813e-12	5.3765101466649735e-12	5.684341886080802e-14	5.684341886080802e-14	PASS
simultaneous_row_column_permutation	21	bb510a10a5da249f3c2bc071af1b50bce06cec9cb3bfbb20da8a36a42f1d0e29	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.3419344901892908e-17	0.19083307124362703	0	OK		1.8662799745904293	2.259090669094964e-05	73.49875364361067	0.8088000253379022	117.55968168211102	119	0.987896484723622	10114.182556513346	-19.25182340737703	0.02244657671056547	4.050093593832571e-12	4.050093593832571e-12	5.007533960129142e-12	5.684341886080802e-14	5.684341886080802e-14	PASS
simultaneous_row_column_permutation	22	ab33235dc2bc6cd9590b73dff4b7eb85c73d2b18ecbc642c513cc1bfa090f41c	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.0816681711722036e-17	0.190833071243627	0	OK		1.866279974590367	2.259090669094956e-05	73.49875364360015	0.8088000253377885	117.55968168211567	119	0.9878964847236611	10114.182556513873	-19.251823407377245	0.022446576710565457	-6.465938895416912e-12	6.465938895416912e-12	-7.994484041609682e-12	-5.684341886080802e-14	5.684341886080802e-14	PASS
simultaneous_row_column_permutation	23	e170386ae408ba7d9d1a9d9e673877907c200bcfc2db4e1224f77328636a271d	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-3.525130458011702e-17	0.19083307124362725	0	OK		1.866279974590399	2.2590906690949556e-05	73.49875364360557	0.8088000253378311	117.55968168211248	119	0.9878964847236343	10114.1825565136	-19.251823407377124	0.022446576710565443	-1.0516032489249483e-12	1.0516032489249483e-12	-1.3002018001738825e-12	-1.4210854715202004e-14	1.4210854715202004e-14	PASS
simultaneous_row_column_permutation	24	ec539e49a32525ac6bbe6eab9d4eee68f49c156f373edb9ed25fe165e58c6d04	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.585946571428131e-17	0.19083307124362708	0	OK		1.8662799745904062	2.2590906690949628e-05	73.49875364360676	0.8088000253378596	117.5596816821121	119	0.9878964847236311	10114.182556513362	-19.25182340737703	0.022446576710565484	1.4210854715202004e-13	1.4210854715202004e-13	1.7570294596944358e-13	1.4210854715202004e-14	1.4210854715202004e-14	PASS
simultaneous_row_column_permutation	25	983968de9a42c57b71f71f4e7785da0788270390dc235f9db93f32e13d5d08e8	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.7911935480199795e-17	0.19083307124362694	0	OK		1.8662799745904115	2.259090669094966e-05	73.49875364360767	0.8088000253378596	117.55968168211295	119	0.9878964847236382	10114.182556513095	-19.25182340737701	0.02244657671056549	1.0516032489249483e-12	1.0516032489249483e-12	1.3002018001738825e-12	1.4210854715202004e-14	1.4210854715202004e-14	PASS
simultaneous_row_column_permutation	26	98993ce187a5c68fea53df211ff2e280283f32ada2b711e884b88b3688cb2984	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.8882536391949425e-17	0.1908330712436272	0	OK		1.8662799745904124	2.2590906690949787e-05	73.49875364360781	0.8088000253379164	117.5596816821105	119	0.9878964847236176	10114.18255651288	-19.25182340737696	0.022446576710565484	1.1937117960769683e-12	1.1937117960769683e-12	1.475904746143326e-12	7.105427357601002e-14	7.105427357601002e-14	PASS
simultaneous_row_column_permutation	27	76f587904d28ef817c332cc9c6267aa97cb073ac7ee80ab20d5307b0d96bd56a	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-2.2895887539799266e-17	0.1908330712436268	0	OK		1.8662799745904008	2.2590906690949706e-05	73.49875364360587	0.8088000253378453	117.55968168211196	119	0.9878964847236299	10114.182556513226	-19.251823407377053	0.022446576710565505	-7.531752999057062e-13	7.531752999057062e-13	-9.31225613638051e-13	0.0	0.0	PASS
simultaneous_row_column_permutation	28	c1394e09770f3ce4415c756ac310342b7c16a08a5e37937f0f52492651be780e	official_after_simultaneous_permutation	255	64	1e-10	0.0	183	72	64	0	-3.4694469519797156e-17	0.19083307124362708	0	OK		1.8662799745904346	2.259090669094733e-05	73.49875364361158	0.8088000253378738	117.55968168211054	119	0.9878964847236179	10114.182556519976	-19.251823407377152	0.022446576710565404	4.959588295605499e-12	4.959588295605499e-12	6.132032814333581e-12	2.842170943040401e-14	2.842170943040401e-14	PASS
