CID	h0dn_row_a_1based	h0dn_row_b_1based	IDSURVEY_a	IDSURVEY_b	source_directory_a	source_directory_b	candidate_path_a	candidate_path_b	distinct_file_blob	observation_count_a	observation_count_b	byte_exact_observation_row_match_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	ambiguous_rounding_compatible_edge_count	near_payload_edge_count	mutual_unique_near_payload_match_count	primary_pair_classification	evidence_level	physical_exposure_identity	statistical_independence	direct_final_measurement_ancestry
2007cq	29	31	64	57	CfA3_DJ20	KAIT_DS15	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007cq.dat	YES	111	91	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007jg	144	145	51	5	LOSS	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/LOSS/2007jg.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT	YES	69	113	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007kk	163	164	51	65	LOSS	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	YES	85	123	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2007qe	5	6	57	64	KAIT_DS15	CfA3_DJ20	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007qe.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT	YES	49	118	0	1	1	0	1	1	SINGLE_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2008Y	213	214	51	65	LOSS	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008Y.dat	YES	22	66	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2008ar	66	67	57	5	KAIT_DS15	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	YES	72	132	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2008ar	66	68	57	65	KAIT_DS15	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	YES	72	104	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2008ar	67	68	5	65	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	YES	132	104	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2008bz	204	205	5	65	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008bz.dat	YES	70	43	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2008cf	177	178	5	65	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008cf.dat	YES	96	31	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2008gg	87	88	51	5	LOSS	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/LOSS/2008gg.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT	YES	55	198	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2008hj	135	136	5	65	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008hj.dat	YES	127	16	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2009D	20	21	5	51	CSPDR3_anthony	LOSS	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat	YES	176	11	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2009D	20	22	5	65	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	YES	176	68	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2009D	21	22	51	65	LOSS	PS1_LOWZ_COMBINED_TEXT_DS17	Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	YES	11	68	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2009ad	64	65	65	5	PS1_LOWZ_COMBINED_TEXT_DS17	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009ad.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT	YES	74	128	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
2009cz	1	2	56	5	SWIFT	CSPDR3_anthony	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2009cz.dat	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009cz.DAT	YES	70	83	0	0	0	0	0	0	NO_MUTUAL_UNIQUE_ROUNDING_COMPATIBLE_PAYLOAD	PUBLISHED_PHOTOMETRY_PAYLOAD_COMPARISON	NOT_ESTABLISHED	NOT_ESTABLISHED	NOT_ESTABLISHED
