CID_a	CID_b	h0dn_row_a_1based	h0dn_row_b_1based	source_directory_a	source_directory_b	observation_count_a	observation_count_b	observation_pair_opportunity_count	rounding_compatible_edge_count	mutual_unique_rounding_compatible_match_count	negative_control_pair_classification
2009cz	2004ef	1	83	SWIFT	CfA3_DJ20	70	32	2240	0	0	CROSS_CID_ZERO
2009cz	2004ef	2	81	CSPDR3_anthony	KAIT_DS15	83	97	8051	0	0	CROSS_CID_ZERO
2009cz	2004ef	2	83	CSPDR3_anthony	CfA3_DJ20	83	32	2656	0	0	CROSS_CID_ZERO
2009cz	2005M	1	40	SWIFT	KAIT_DS15	70	79	5530	0	0	CROSS_CID_ZERO
2009cz	2005M	1	41	SWIFT	CSPDR3_anthony	70	381	26670	0	0	CROSS_CID_ZERO
2009cz	2005M	1	42	SWIFT	CfA3_DJ20	70	26	1820	0	0	CROSS_CID_ZERO
2009cz	2005M	2	40	CSPDR3_anthony	KAIT_DS15	83	79	6557	0	0	CROSS_CID_ZERO
2009cz	2005M	2	42	CSPDR3_anthony	CfA3_DJ20	83	26	2158	0	0	CROSS_CID_ZERO
2009cz	2005eq	1	61	SWIFT	KAIT_DS15	70	87	6090	0	0	CROSS_CID_ZERO
2009cz	2005eq	1	62	SWIFT	CSPDR3_anthony	70	211	14770	0	0	CROSS_CID_ZERO
2009cz	2005eq	1	63	SWIFT	CfA3_DJ20	70	141	9870	0	0	CROSS_CID_ZERO
2009cz	2005eq	2	61	CSPDR3_anthony	KAIT_DS15	83	87	7221	0	0	CROSS_CID_ZERO
2009cz	2005eq	2	63	CSPDR3_anthony	CfA3_DJ20	83	141	11703	0	0	CROSS_CID_ZERO
2009cz	2005hc	1	172	SWIFT	CfA3_DJ20	70	111	7770	0	0	CROSS_CID_ZERO
2009cz	2005hc	1	173	SWIFT	CSPDR3_anthony	70	163	11410	0	0	CROSS_CID_ZERO
2009cz	2005hc	2	172	CSPDR3_anthony	CfA3_DJ20	83	111	9213	0	0	CROSS_CID_ZERO
2009cz	2005iq	1	113	SWIFT	CfA3_DJ20	70	67	4690	0	0	CROSS_CID_ZERO
2009cz	2005iq	1	114	SWIFT	CSPDR3_anthony	70	154	10780	0	0	CROSS_CID_ZERO
2009cz	2005iq	2	113	CSPDR3_anthony	CfA3_DJ20	83	67	5561	0	0	CROSS_CID_ZERO
2009cz	2005na	1	54	SWIFT	CSPDR3_anthony	70	170	11900	0	0	CROSS_CID_ZERO
2009cz	2005na	1	55	SWIFT	CfA3_DJ20	70	92	6440	0	0	CROSS_CID_ZERO
2009cz	2005na	1	56	SWIFT	KAIT_DS15	70	68	4760	0	0	CROSS_CID_ZERO
2009cz	2005na	2	55	CSPDR3_anthony	CfA3_DJ20	83	92	7636	0	0	CROSS_CID_ZERO
2009cz	2005na	2	56	CSPDR3_anthony	KAIT_DS15	83	68	5644	0	0	CROSS_CID_ZERO
2009cz	2006ac	1	16	SWIFT	KAIT_DS15	70	31	2170	0	0	CROSS_CID_ZERO
2009cz	2006ac	1	17	SWIFT	CfA3_DJ20	70	145	10150	0	0	CROSS_CID_ZERO
2009cz	2006ac	2	16	CSPDR3_anthony	KAIT_DS15	83	31	2573	0	0	CROSS_CID_ZERO
2009cz	2006ac	2	17	CSPDR3_anthony	CfA3_DJ20	83	145	12035	0	0	CROSS_CID_ZERO
2009cz	2006en	1	97	SWIFT	KAIT_DS15	70	65	4550	0	0	CROSS_CID_ZERO
2009cz	2006en	1	98	SWIFT	CfA3_DJ20	70	58	4060	0	0	CROSS_CID_ZERO
2009cz	2006en	2	97	CSPDR3_anthony	KAIT_DS15	83	65	5395	0	0	CROSS_CID_ZERO
2009cz	2006en	2	98	CSPDR3_anthony	CfA3_DJ20	83	58	4814	0	0	CROSS_CID_ZERO
2009cz	2006gr	1	120	SWIFT	KAIT_DS15	70	72	5040	0	0	CROSS_CID_ZERO
2009cz	2006gr	1	121	SWIFT	CfA3_DJ20	70	129	9030	0	0	CROSS_CID_ZERO
2009cz	2006gr	2	120	CSPDR3_anthony	KAIT_DS15	83	72	5976	0	0	CROSS_CID_ZERO
2009cz	2006gr	2	121	CSPDR3_anthony	CfA3_DJ20	83	129	10707	0	0	CROSS_CID_ZERO
2009cz	2007F	1	15	SWIFT	CfA3_DJ20	70	127	8890	0	0	CROSS_CID_ZERO
2009cz	2007F	2	14	CSPDR3_anthony	LOSS	83	100	8300	0	0	CROSS_CID_ZERO
2009cz	2007F	2	15	CSPDR3_anthony	CfA3_DJ20	83	127	10541	0	0	CROSS_CID_ZERO
2009cz	2007O	1	147	SWIFT	KAIT_DS15	70	34	2380	0	0	CROSS_CID_ZERO
2009cz	2007O	1	148	SWIFT	CfA3_DJ20	70	55	3850	0	0	CROSS_CID_ZERO
2009cz	2007O	2	147	CSPDR3_anthony	KAIT_DS15	83	34	2822	0	0	CROSS_CID_ZERO
2009cz	2007O	2	148	CSPDR3_anthony	CfA3_DJ20	83	55	4565	0	0	CROSS_CID_ZERO
2009cz	2007bd	1	91	SWIFT	CSPDR3_anthony	70	110	7700	0	0	CROSS_CID_ZERO
2009cz	2007bd	1	92	SWIFT	CfA3_DJ20	70	46	3220	0	0	CROSS_CID_ZERO
2009cz	2007bd	2	90	CSPDR3_anthony	LOSS	83	20	1660	0	0	CROSS_CID_ZERO
2009cz	2007bd	2	92	CSPDR3_anthony	CfA3_DJ20	83	46	3818	0	0	CROSS_CID_ZERO
2009cz	2007co	1	50	SWIFT	KAIT_DS15	70	94	6580	0	0	CROSS_CID_ZERO
2009cz	2007co	1	52	SWIFT	CfA3_DJ20	70	122	8540	0	0	CROSS_CID_ZERO
2009cz	2007co	2	50	CSPDR3_anthony	KAIT_DS15	83	94	7802	0	0	CROSS_CID_ZERO
2009cz	2007co	2	51	CSPDR3_anthony	SWIFT	83	44	3652	0	0	CROSS_CID_ZERO
2009cz	2007co	2	52	CSPDR3_anthony	CfA3_DJ20	83	122	10126	0	0	CROSS_CID_ZERO
2009cz	2007cq	1	29	SWIFT	CfA3_DJ20	70	111	7770	0	0	CROSS_CID_ZERO
2009cz	2007cq	1	31	SWIFT	KAIT_DS15	70	91	6370	0	0	CROSS_CID_ZERO
2009cz	2007cq	2	28	CSPDR3_anthony	SWIFT	83	64	5312	0	0	CROSS_CID_ZERO
2009cz	2007cq	2	29	CSPDR3_anthony	CfA3_DJ20	83	111	9213	0	0	CROSS_CID_ZERO
2009cz	2007cq	2	31	CSPDR3_anthony	KAIT_DS15	83	91	7553	0	0	CROSS_CID_ZERO
2009cz	2007jg	1	145	SWIFT	CSPDR3_anthony	70	113	7910	0	0	CROSS_CID_ZERO
2009cz	2007jg	2	144	CSPDR3_anthony	LOSS	83	69	5727	0	0	CROSS_CID_ZERO
2009cz	2007kk	2	163	CSPDR3_anthony	LOSS	83	85	7055	0	0	CROSS_CID_ZERO
2009cz	2007kk	2	164	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	123	10209	0	0	CROSS_CID_ZERO
2009cz	2007qe	1	5	SWIFT	KAIT_DS15	70	49	3430	0	0	CROSS_CID_ZERO
2009cz	2007qe	1	6	SWIFT	CfA3_DJ20	70	118	8260	0	0	CROSS_CID_ZERO
2009cz	2007qe	2	5	CSPDR3_anthony	KAIT_DS15	83	49	4067	0	0	CROSS_CID_ZERO
2009cz	2007qe	2	6	CSPDR3_anthony	CfA3_DJ20	83	118	9794	0	0	CROSS_CID_ZERO
2009cz	2008Y	2	213	CSPDR3_anthony	LOSS	83	22	1826	0	0	CROSS_CID_ZERO
2009cz	2008Y	2	214	CSPDR3_anthony	PS1_LOWZ_COMBINED_TEXT_DS17	83	66	5478	0	0	CROSS_CID_ZERO
