target_h0dn_row_1based	target_CID	target_IDSURVEY	target_survey_label	path	source_directory	SNID	SURVEY	git_blob_sha1	sha256	used_by_other_main_row
81	2004ef	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004ef.dat	KAIT_DS15	2004ef	KAITM	aa2a872349749bef0154f9472a5ffa24364be06e	1000484b48312b678a9a28f87684ba462b66bdb9a4ff82125c512c3e4e928ee0	false
87	2008gg	51	LOSS1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT	CSPDR3_anthony	2008gg	CSP	51af12da5d6ea339cfbdf242dc701c7c16a24f1c	da05c484a6cae222e86d0127e7fdfca26166d41cdea94b6eab4266a91813d950	true
87	2008gg	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2008gg.dat	LOSS	2008gg	KAIT	830e32c3558f75dc0d2b007128d737675cea0a21	cc0b336e64e6fa1275bc4896395362739a2597a22dbfc8f6541695906bd1e7de	false
90	2007bd	51	LOSS1	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT	CSPDR3_anthony	2007bd	CSP	defc38c8c161450ea9ac1138c7e66a1d8d47638e	d001faf2bcf62d6da27057a94db6fd6c33bf98a29e59e47aee0b16b08ffa1263	true
90	2007bd	51	LOSS1	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	CfA3_DJ20	2007bd	PS1_LOWZ_COMBINED(CFA3K)	2856af6c6e05924c7ba1a3a37015efa43e427a8d	ff42b5e2370ab753f3ca7858c9159621928aa5a0f902fad4259bd8657ab6ac34	true
90	2007bd	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007bd.dat	LOSS	2007bd	KAIT	82833cd14394b26f5a3d435a959cc6c88399ff80	010b2f23b608810ba08bd27471c1b1e93fd8b975914ac7c2791860874ddaa0b9	false
97	2006en	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006en.DAT	CfA3_DJ20	2006en	PS1_LOWZ_COMBINED(CFA3K)	a76833b2a9a37f3fe3393bce47e7623a56a0d2e5	fb47a2e245acb1dd78ae7ccee831f52a18d7c0581a93f289e079f35bb33bc13a	true
97	2006en	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006en.dat	KAIT_DS15	2006en	KAITM	c43989d94f68784a9ffa1e0147a8cee6d73c73d2	1515dc106bcc57cdb447041886b52a12b7e6ff3319fedbac8574de67c0811795	false
109	2004as	57	LOSS2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT	CfA3_DJ20	2004as	PS1_LOWZ_COMBINED(CFA3S)	5a8fb4709c9ea2c2dc17e37e162013ff9aee0b60	e7399e1fa3dbb190ec45b9ecb69a779e37cdb396cd77b02074f1e0515e666eec	true
109	2004as	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004as.dat	KAIT_DS15	2004as	KAITM	94ede1ff4fb91e3eb8cc68dc37bdc029dcbe4cf6	6779ee5195cad306d9a526bb0358a89c34af608c9433fa24bba58f57854dafd1	false
